Hour,Count
00,10
01,6
02,7
03,22
04,26
05,33
06,78
07,143
08,278
09,291
10,238
11,225
12,257
13,291
14,261
15,186
16,116
17,68
18,74
19,61
20,46
21,26
22,19
23,16
