Metric,Value
Generated at,2026-09-03 00:44 UTC
Total issues,2763
Open issues,44
Closed issues,2719
Unique contributors,376
Distinct labels,18
Total label assignments,5486
First issue date,2025-05-05
Latest issue date,2026-09-02
Unlabeled issues,10
