Label,Count
data request,2342
completed,1767
failed,357
invalid,141
aborted,31
submitted,29
enhancement,10
bug,9
discussion,8
testsuite,8
frontend,4
v2.1,3
external bug,2
v2.0,1
backend,1
v2.2,1
